Babylon Timewarp	Soul Jazz Records presents BLACK RIOT: Early Jungle, Rave and Hardcore	no_match	
Bala Miller & The Great Music Pirameeds of Afrika	Nigeria 70: The Definitive Story of 1970s Funky Lagos	no_match	
Balkans	Demos and Outtakes (2009 - 2010)	no_match	
Banco De Gaia	π - Music For The Motion Picture	no_match	
Barbara Stant	Eccentric Northern Soul	no_match	
Barracuda	Maybe I'm Dreaming	no_match	
Barrie	Like Someone I Know: A Celebration of Margo Guryan	no_match	
Bartees Strange, Anjimile, & Kara Jackson	TRANSA	no_match	
Beak>	>>>	no_match	
Beak>	>>>>	no_match	
Beat Awfuls	Banana Appeal	no_match	
Becker & Mukai	Soul Jazz Records Presents Two Synths A Guitar (And) A Drum Machine - Post Punk Dance Vol.1	no_match	
Bedouin Ascent	Virtual Dreams: Ambient Explorations In The House & Techno Age, 1993-1997	no_match	
Bedouine	Like Someone I Know: A Celebration of Margo Guryan	no_match	
Bedrock	Quattro III - Redux	no_match	
Bells of Kyoto 	Intenta: Experimental & Electronic Music from Switzerland 1981-93	no_match	
Ben Hinds	Christmas Dreamers: Yuletide Country (1960-1972)	no_match	
Ben Lumsdaine	Program 2: Electric Musings from the Hoosier Flatlands & Other Distant Zones	no_match	
Benet & Faye Webster	TRANSA	no_match	
Berliner Philharmoniker, Sir Simon Rattle	The Planets - Asteroids - Disc 01	no_match	
Berliner Philharmoniker, Sir Simon Rattle	The Planets - Asteroids - Disc 02	no_match	
Betty & Angel	Eccentric Soul: The Way Out Label (Disc A)	no_match	
Beyoncé	AMERICA HAS A PROBLEM (feat. Kendrick Lamar)	no_match	
Beyoncé	Beyoncé: Platinum Edition	no_match	
Beyoncé & Alejandro Fernández	B'Day	no_match	
Beyoncé feat. André 3000	4 (Qobuz Studio Masters)	no_match	
Beyoncé feat. BEAM	RENAISSANCE (Explicit Version)	no_match	
Beyoncé feat. Big Boi and Sleepy Brown	Dangerously in Love	no_match	
Beyoncé feat. Grace Jones & Tems	RENAISSANCE (Explicit Version)	no_match	
Beyoncé feat. Jay-Z	B'Day	no_match	
Beyoncé feat. Jay-Z	Dangerously in Love	no_match	
Beyoncé feat. Luther Vandross	Dangerously in Love	no_match	
Beyoncé feat. Missy Elliott	Dangerously in Love	no_match	
Beyoncé feat. Sean Paul	Dangerously in Love	no_match	
Bill Callahan	Let's Move to the Country	no_match	
Bill Converse	Holodeck Vision One	no_match	
Bill Evans Quintet	Interplay - DCC 24kt Gold 1996	no_match	
Billie Eilish	Barbie the Album (Best Weekend Ever Edition)	no_match	
Billie Eilish	HIT ME HARD AND SOFT	fetch_error	404 Client Error: Not Found for url: https://api.discogs.com/releases/30709133
Billy Egr	Christmas Dreamers: Yuletide Country (1960-1972)	no_match	
Billy F Gibbons	May the Circle Remain Unbroken: a Tribute to Roky Erickson	no_match	
Billy Foster & Audio	Skyway Soul: Gary, Indiana	no_match	
Bird of Paradigm	Musicians for a Free Palestine	no_match	
Black Deer	Soul Jazz Records Presents Two Synths A Guitar (And) A Drum Machine - Post Punk Dance Vol.1	no_match	
Black Sabbath	Black Sabbath (2012 SHM-SACD)	no_match	
Black Sabbath	Black Sabbath Vol.4 (2012 SHM-SACD)	no_match	
Black Sabbath	Master Of Reality (2011 SHM-SACD)	no_match	
Black Sabbath	Master of Reality [Sanctuary 2701106 DLX]	no_match	
Blithe Field	Hymn for Anyone	no_match	
Blitzen Trapper	Wild Mountain Nation [Lidkercow Records]	no_match	
Blo	Nigeria 70: The Definitive Story of 1970s Funky Lagos	no_match	
Bo & The Metros	Boddie Recording Company: Cleveland, Ohio (Disc 1: Soul Kitchen)	no_match	
Bob & Fred	Eccentric Northern Soul	no_match	
Bob B. Soxx & the Blue Jeans	A Christmas Gift for You from Phil Spector	no_match	
