prev_id,cur_id,prev_label,cur_label
8c5c22941e4739b5a15adf0615d4132e,e8eef6f87b9bc6c56ab14a534af23ea6,Minor Threat - Minor Threat,Green-House - Find Home
e8eef6f87b9bc6c56ab14a534af23ea6,8c5c22941e4739b5a15adf0615d4132e,Green-House - Find Home,Minor Threat - Minor Threat
