base_variant,below_floor,distinct_artists,evaluation_mode,max_artist_share,order_source,playlist_len,runtime_sec,seed,track_ids,variant
raw,,,fixed_order,,raw,,0.002227500022854656,t3,t3,raw
raw,,,fixed_order,,raw,,0.0014395000180229545,t4,t4,raw
