artist,track_count,genre_count,current_genres
"Frank Ocean feat. Yung Lean, Austin Feinstein",1,0,(none)
Gary Clark Jr. & Eve Monsees,1,0,(none)
General Lee & The Space Army Band,1,0,(none)
Green-House & Kelela,1,0,(none)
Health Feat. Godflesh,1,0,(none)
Health Feat. Sierra,1,0,(none)
Heart Shaped & Christian Lee Hutson,1,0,(none)
Helado Negro & Eileen Myles,1,0,(none)
Horace Tapscott with the Pan Afrikan Peoples Arkestra,1,0,(none)
J.C. Akins & The Dukes,1,0,(none)
Jay-Z feat. Beyoncé,1,0,(none)
Jeff Tweedy & claire rousay,1,0,(none)
Jessy Lanza feat. Loraine James,1,0,(none)
Jlin & Moor Mother,1,0,(none)
Juan Formel & Los Van Van,1,0,(none)
Julien Baker & Calvin Lauber,1,0,(none)
Jungle & Erick the Architect,1,0,(none)
Jungle feat. Bas,1,0,(none)
Jungle feat. Channel Tres,1,0,(none)
Jungle feat. Mood Talk,1,0,(none)
Jungle feat. Roots Manuva,1,0,(none)
Junko Ohashi & Minoya Central Station,1,0,(none)
"Kara Jackson, Ahya Simone, & Dirty Projectors",1,0,(none)
Karol G feat. Aldo Ranks,1,0,(none)
Key & Cleary,1,0,(none)
King Sunny Adé & His African Beats,1,0,(none)
Lauren Auder & Wendy & Lisa,1,0,(none)
Little Anthony Mitchell & The Modern Detergents,1,0,(none)
Lomelda & More Eaze,1,0,(none)
Lost Boy ? feat. The Turtle Rubs,1,0,(none)
Lu Coy & Tyler Holmes,1,0,(none)
Lynn Castle & Mark Lanegan,1,0,(none)
M.A. Jaiyesimi & His Crescent Bros Band,1,0,(none)
Mandingo Griot Society with Don Cherry,1,0,(none)
Mariah Carey & David Morales,1,0,(none)
Mariah Carey & Westlife,1,0,(none)
Mariah Carey feat. Da Brat & Missy Elliott,1,0,(none)
Mariah Carey feat. Dru Hill,1,0,(none)
Mariah Carey feat. Jay-Z,1,0,(none)
Mariah Carey feat. Joe & 98°,1,0,(none)
Mariah Carey feat. Joe & Nas,1,0,(none)
Mariah Carey feat. Krayzie Bone & Wish Bone,1,0,(none)
Mariah Carey feat. Mystikal & Master P,1,0,(none)
Mariah Carey feat. Snoop Dogg,1,0,(none)
Mariah Carey feat. Trey Lorenz,1,0,(none)
"Mary Lattimore, Mizu, & Jamal Shakeri",1,0,(none)
Masahiro Takahashi feat. Joseph Shabason and Bram Gielen,1,0,(none)
"Meg Baird, Mary Lattimore & Walt Mcclements",1,0,(none)
Mount Kimbie Feat. King Krule,1,0,(none)
Nate Evans & Mean Green,1,0,(none)
Nathaniel Russell & Landon Caldwell,1,0,(none)
Nicki Minaj & Ice Spice feat. aqua,1,0,(none)
Nico Georis & Kb Brookins,1,0,(none)
NoName feat. Ayoni,1,0,(none)
NoName feat. Common & Ayoni,1,0,(none)
NoName feat. Jay Electronica & Eryn Allen Kane,1,0,(none)
NoName feat. Jimetta Rose & Voices of Creation,1,0,(none)
"NoName feat. STOUT, Billy Woods & $ilkMoney",1,0,(none)
Ofo & The Black Company,1,0,(none)
Olufemi Ajasa & His New Nigerian Bros.,1,0,(none)
Omni Feat. Izzy Glaudini,1,0,(none)
Orlando Julius & His Afro Sounders,1,0,(none)
Osayomore Joseph & the Creative 7,1,0,(none)
Perfume Genius & Alan Sparhawk,1,0,(none)
Pig&Dan,1,0,(none)
PinkPantheress & Ice Spice,1,0,(none)
Prince Nico Mbarga & Rocafil Jazz,1,0,(none)
Rashied Ali & Frank Lowe,1,0,(none)
Ricky Hedges & The Funky People,1,0,(none)
Rogana Ottah & His Black Heroes Int.,1,0,(none)
Rufus Thomas & Carla Thomas,1,0,(none)
SZA & Don Toliver,1,0,(none)
SZA & Travis Scott,1,0,(none)
Sam Smith & Beverly Glenn-Copeland,1,0,(none)
Satoshi Fumi & Ian O'Donovan,1,0,(none)
Segun Bucknor & His Revolution,1,0,(none)
Sharon Van Etten & Ezra Furman,1,0,(none)
Shina Williams & His African Percussionists,1,0,(none)
Sir Shina Peters & His International Stars,1,0,(none)
