arc_strength_bucket,beam_width,below_floor_count_mean,below_floor_count_std,bridge_raw_sonic_sim_mean_mean,bridge_raw_sonic_sim_mean_std,bridge_raw_sonic_sim_min_mean,bridge_raw_sonic_sim_min_std,count_runs,genre_tie_break_band,jumpiness_bucket,label,max_jump_mean,max_jump_std,monotonic_violations_mean,monotonic_violations_std,overlap_jaccard_mean,overlap_jaccard_std,p50_arc_dev_mean,p50_arc_dev_std,p90_arc_dev_mean,p90_arc_dev_std,progress_arc_autoscale_enabled,progress_arc_enabled,progress_arc_loss,progress_arc_max_step,progress_arc_tolerance,progress_arc_weight,raw_sonic_sim_mean_mean,raw_sonic_sim_mean_std,raw_sonic_sim_min_mean,raw_sonic_sim_min_std,runtime_s_mean,runtime_s_std,unique_tracklists
high,50,0.0,0.0,0.8403301127546888,0.008573258401677842,0.703986005368776,0.05072438197522959,3,0.02,tight,arc_w0.75_t0.0_abs_m0.1_autoFalse_tb0.02_beam50,0.20062384413128784,0.034628547568061864,5.0,2.160246899469287,,,0.20040970386766674,0.018885854413314525,0.37228172513540675,0.027157207232578976,False,True,abs,0.1,0.0,0.75,0.8391102356419741,0.007628834412388145,0.703986005368776,0.05072438197522959,3.401,0.07923383115816135,3
extreme,,0.0,0.0,0.7093370680075216,0.018924727761236278,0.3708719159694342,0.024071277564628804,3,0.02,moderate,arc_w1.5_t0.05_abs_m0.2_autoFalse_tb0.02_beamNone,0.18206213869880353,0.01727503776441229,5.333333333333333,0.9428090415820634,,,0.1445213798312532,0.00263780025737806,0.297099474889575,0.011523421387498544,False,True,abs,0.2,0.05,1.5,0.7093370680075216,0.018924727761236278,0.3708719159694342,0.024071277564628804,2.466666666666667,0.02819377393838739,3
extreme,10,0.0,0.0,0.8298663520186919,0.009206609292130439,0.6591627475877714,0.01980688087337153,3,0.02,tight,arc_w1.5_t0.08_abs_m0.15_autoFalse_tb0.02_beam10,0.20062384413128784,0.034628547568061864,4.666666666666667,2.357022603955158,,,0.18919481099882765,0.012617978004910267,0.3334347016526031,0.025811209525542268,False,True,abs,0.15,0.08,1.5,0.8296465392837642,0.008499180125954084,0.6569224450148764,0.022665867065354273,2.111,0.03779770716150213,3
extreme,10,0.0,0.0,0.8298663520186919,0.009206609292130439,0.6591627475877714,0.01980688087337153,3,0.02,tight,arc_w1.5_t0.08_abs_m0.15_autoTrue_tb0.02_beam10,0.20062384413128784,0.034628547568061864,4.666666666666667,2.357022603955158,,,0.18919481099882765,0.012617978004910267,0.3334347016526031,0.025811209525542268,True,True,abs,0.15,0.08,1.5,0.8296465392837642,0.008499180125954084,0.6569224450148764,0.022665867065354273,2.09,0.031026870075253617,3
extreme,,0.0,0.0,0.711859993024222,0.024220435773751523,0.3708719159694342,0.024071277564628804,3,,tight,arc_w1.5_t0.08_abs_m0.1_autoTrue_tbNone_beamNone,0.1871349491941484,0.022430963608470158,5.0,2.160246899469287,,,0.14712676699313687,0.006829116506937283,0.2926792342283462,0.01275684238886391,True,True,abs,0.1,0.08,1.5,0.711859993024222,0.024220435773751523,0.3708719159694342,0.024071277564628804,2.457333333333333,0.03655437350334732,3
extreme,,0.0,0.0,0.7045677913826708,0.008388508921659397,0.38177523221145987,0.0368018702845838,3,0.02,moderate,arc_w1.5_t0.0_abs_m0.2_autoFalse_tb0.02_beamNone,0.17269714312126294,0.013816941468343346,5.0,0.816496580927726,,,0.14343109928751574,0.0014888403977837566,0.297099474889575,0.011523421387498544,False,True,abs,0.2,0.0,1.5,0.7045677913826708,0.008388508921659397,0.38177523221145987,0.0368018702845838,2.447,0.028472208672083523,3
extreme,10,0.0,0.0,0.8215100207802469,0.007136269882610093,0.6627726408786871,0.020674226153771482,3,0.02,tight,arc_w1.5_t0.12_abs_m0.15_autoFalse_tb0.02_beam10,0.20062384413128784,0.034628547568061864,4.333333333333333,1.247219128924647,,,0.1905756687481882,0.014211671203553013,0.31971627626577326,0.007060447879096205,False,True,abs,0.15,0.12,1.5,0.8228461332071942,0.007661589561343592,0.6605323383057922,0.023770299396614656,2.0703333333333336,0.03502697373295189,3
extreme,25,0.0,0.0,0.8277827513601229,0.0012608034106125834,0.6471507078401747,0.009185641766684115,3,,tight,arc_w1.5_t0.2_abs_m0.1_autoTrue_tbNone_beam25,0.20062384413128784,0.034628547568061864,4.0,2.449489742783178,,,0.21659133139639838,0.002920332009091688,0.3375040868703716,0.024576262994055173,True,True,abs,0.1,0.2,1.5,0.8284381501799564,0.0020374789991673523,0.6449104052672797,0.012328171293980214,2.5103333333333335,0.03600308628745909,3
extreme,50,0.0,0.0,0.8321203414818994,0.012219543051158058,0.6591627475877714,0.01980688087337153,3,0.02,tight,arc_w2.0_t0.05_abs_m0.1_autoFalse_tb0.02_beam50,0.20062384413128784,0.034628547568061864,4.666666666666667,1.699673171197595,,,0.17657450310862013,0.02208074053260499,0.32378566148354176,0.009963694334703755,False,True,abs,0.1,0.05,2.0,0.8323410671737118,0.012364566841505317,0.6591627475877714,0.01980688087337153,3.4793333333333334,0.11372579107465265,3
extreme,,0.0,0.0,0.7015722488215363,0.023789443916461504,0.4072533749679983,0.061732881289088104,3,,tight,arc_w2.0_t0.05_abs_m0.1_autoTrue_tbNone_beamNone,0.18668061542664405,0.02061360073814236,5.0,2.160246899469287,,,0.14828347425975233,0.005407967163063773,0.2854852056819982,0.019457245655738715,True,True,abs,0.1,0.05,2.0,0.7015722488215363,0.023789443916461504,0.4072533749679983,0.061732881289088104,2.5056666666666665,0.06450495243691688,3
