genre,album_count,top_neighbors
slacker rock,20,space rock revival:0.43; slowcore:0.34; space rock:0.19; alternative country:0.17; shoegaze:0.11
afrobeat,19,contemporary jazz:0.07; funk:0.07; soul:0.06; adult contemporary:0.05; african:0.05
glitch,19,progressive electronic:0.17; idm:0.11; abstract:0.11; sound collage:0.10; electroacoustic:0.09
hard rock,19,classic rock:0.26; blues rock:0.21; arena rock:0.20; heavy metal:0.17; british blues:0.16
jangle pop,19,indie surf:0.16; bedroom pop:0.11; slacker rock:0.05; hypnagogic pop:0.05; britpop:0.05
pop soul,19,smooth soul:0.27; adult contemporary:0.15; motown:0.11; gangsta rap:0.11; soul:0.10
baroque pop,18,chamber pop:0.10; progressive:0.10; ballad:0.09; surf rock:0.08; chamber folk:0.08
post bop,24,modal:0.18; modal jazz:0.15; cool jazz:0.12; free jazz:0.11; hard bop:0.10
soft rock,18,bedroom pop:0.15; folk pop:0.14; indie folk:0.07; psychedelic pop:0.06; baroque pop:0.06
alternative pop,22,uk garage:0.13; art pop:0.09; indietronica:0.07; noise pop:0.07; ambient pop:0.06
psychedelic folk,17,freak folk:0.18; progressive pop:0.12; americana:0.11; progressive folk:0.11; folk rock:0.09
art punk,16,spoken word:0.17; funk rock:0.10; new wave:0.10; hardcore punk:0.07; punk:0.07
blues,16,blues rock:0.28; british blues:0.19; classic rock:0.18; arena rock:0.17; album rock:0.16
blues rock,16,blues:0.28; classic rock:0.25; arena rock:0.24; album rock:0.22; hard rock:0.21
deep house,16,house:0.20; dub techno:0.09; bass music:0.06; hip house:0.06; neofolk:0.05
electropop,16,bubblegum bass:0.25; hyperpop:0.19; deconstructed club:0.16; club:0.12; chillwave:0.12
garage punk,16,garage psych:0.39; heavy psych:0.25; garage rock:0.23; krautrock:0.14; garage rock revival:0.10
indie,16,alternative punk:0.09; alternative and punk:0.07; emo:0.07; electronica dance:0.06; lounge:0.05
math rock,16,art rock:0.07; midwest emo:0.06; noise rock:0.05; post rock:0.05; krautrock:0.05
modal,16,post bop:0.18; modal jazz:0.10; cool jazz:0.07; hard bop:0.07; free jazz:0.07
no wave,16,noise:0.15; noise rock:0.13; alternative rock:0.05; trap:0.04; grunge:0.04
punk rock,16,hardcore punk:0.24; punk:0.14; pop punk:0.14; hardcore:0.09; alternative and punk:0.07
stage screen,0,
alternative and punk,15,indie:0.07; punk rock:0.07; alternative metal:0.06; midwest emo:0.06; metal:0.06
emo,15,alternative punk:0.10; indie:0.07; emocore:0.06; midwest emo:0.06; power pop:0.05
ethereal,15,shoegaze:0.06; ethereal wave:0.06; synthwave:0.06; contemporary classical:0.06; dream pop:0.05
free jazz,15,spiritual jazz:0.18; free improvisation:0.18; modal jazz:0.17; post bop:0.11; hard bop:0.07
hardcore punk,15,punk rock:0.24; hardcore:0.20; punk:0.17; noise rock:0.08; heavy metal:0.07
heavy metal,15,progressive metal:0.47; sludge metal:0.31; arena rock:0.25; british blues:0.20; hard rock:0.17
jazzy hip-hop,0,
progressive,15,progressive rock:0.15; classic rock:0.15; baroque pop:0.10; psychedelic:0.08; prog rock:0.08
progressive rock,15,progressive:0.15; classic rock:0.15; prog rock:0.12; jazz rock:0.07; alt rock:0.06
alternative country,14,americana:0.23; contemporary folk:0.21; slacker rock:0.17; slowcore:0.15; alternative folk:0.11
boom bap,14,conscious:0.29; hip hop:0.13; conscious hip hop:0.12; jazz rap:0.12; abstract hip hop:0.11
cool jazz,14,post bop:0.12; modal jazz:0.11; modal:0.07; bebop:0.07; américain:0.07
jazz fusion,14,fusion:0.22; latin jazz:0.19; nu jazz:0.18; jazz funk:0.12; jazz rock:0.12
jazz rap,14,conscious hip hop:0.69; conscious:0.44; abstract hip hop:0.31; political hip hop:0.29; alternative hip hop:0.24
latin,14,mpb:0.29; bossa nova:0.17; samba:0.14; latin jazz:0.12; bossanova:0.07
smooth soul,14,pop soul:0.27; southern soul:0.18; adult contemporary:0.12; quiet storm:0.12; funk soul:0.12
acid,13,acid techno:0.67; electro:0.18; breakbeat:0.17; techno:0.11; idm:0.09
alternative,14,garage rock revival:0.11; grunge:0.08; synthpop:0.07; electronica dance:0.07; new wave:0.07
americana,13,alternative country:0.23; contemporary folk:0.22; country rock:0.18; progressive folk:0.13; country:0.12
avantgarde,13,spoken word:0.06; lounge:0.06; bossa nova:0.05; experimental rock:0.05; hardcore:0.05
conscious hip hop,13,jazz rap:0.69; conscious:0.52; political hip hop:0.40; west coast hip hop:0.29; abstract hip hop:0.25
country rock,13,country:0.19; americana:0.18; gospel:0.13; alternative country:0.08; country pop:0.07
funk soul,13,deep soul:0.21; southern soul:0.19; smooth soul:0.12; soul:0.09; funk:0.08
grunge,13,alternative:0.08; noise rock:0.07; alternative pop:0.06; punk:0.06; industrial:0.06
post-bop,0,
