position,prev_track_id,next_track_id,prev_artist,next_artist,sonic_sim,genre_sim,hybrid_sim,transition_sim,transition_raw,transition_centered,below_floor,same_artist
0,5a363d4ef1cc05132b5577b93caddb96,0273ed3d14f6db66f44cf2e024bc7544,jonny nash,cantoma,0.9665802631515394,0.8861373662948608,0.6504308286109515,0.977400841160539,0.977400841160539,0.977400841160539,False,False
1,0273ed3d14f6db66f44cf2e024bc7544,8dde0d13938064a4a7a09f6c2277c248,cantoma,soshi takeda,0.9943220779356147,0.9179680347442627,0.6033948042723467,0.9932689757345217,0.9932689757345217,0.9932689757345217,False,False
2,8dde0d13938064a4a7a09f6c2277c248,aa764589c195dfa0f78f3f60360ad16d,soshi takeda,waka wakah,0.9968087946864747,0.46659567952156067,0.48773142645610057,0.9985080655971722,0.9985080655971722,0.9985080655971722,False,False
3,aa764589c195dfa0f78f3f60360ad16d,bb54084565d0a0db9633decd38ae982e,waka wakah,huerco s,0.9754669350815817,0.4803716838359833,0.5290126893841665,0.9770417953670734,0.9770417953670734,0.9770417953670734,False,False
4,bb54084565d0a0db9633decd38ae982e,2feb0bff0921281c3a64776200de0bff,huerco s,hampshire foat,0.9902378445382689,0.7119114995002747,0.6242343235805834,0.9913053438492466,0.9913053438492466,0.9913053438492466,False,False
5,2feb0bff0921281c3a64776200de0bff,85db79726dde56f84c403dd5ea297e2e,hampshire foat,john carroll kirby,0.9901953479962794,0.7725961804389954,0.5813270579436629,0.9970293441569054,0.9970293441569054,0.9970293441569054,False,False
6,85db79726dde56f84c403dd5ea297e2e,6032f4c49fe7e68833f82372427da6fa,john carroll kirby,jonny nash,0.9783740507407989,0.8495004773139954,0.6813581116419503,0.9951771488829094,0.9951771488829094,0.9951771488829094,False,False
7,6032f4c49fe7e68833f82372427da6fa,ccd2348a20a1b8996053c3d76e346967,jonny nash,gigi masin,0.998557998262608,0.7631152272224426,0.5402429475378957,0.9953389765525414,0.9953389765525414,0.9953389765525414,False,False
8,ccd2348a20a1b8996053c3d76e346967,fb695830a3133c205d2a3b8cea5abbec,gigi masin,helado negro,0.9816456000269667,0.7207659482955933,0.176556715853973,0.9928312440009235,0.9928312440009235,0.9928312440009235,False,False
9,fb695830a3133c205d2a3b8cea5abbec,ebe47e7cb7c2f9907d3c1d89040f0ca1,helado negro,molly lewis,0.9962609860397408,0.43450435996055603,0.5030614597910089,0.9988032966224327,0.9988032966224327,0.9988032966224327,False,False
10,ebe47e7cb7c2f9907d3c1d89040f0ca1,29314b09a8810804da410759118a7362,molly lewis,the seven fields of aphelion,0.9905319871980449,0.3989488482475281,0.14365555534780894,0.9848525827559604,0.9848525827559604,0.9848525827559604,False,False
11,29314b09a8810804da410759118a7362,681ddb33974851e25b5724b04090ccc0,the seven fields of aphelion,hiroshi yoshimura,0.9513184293269906,0.8784208297729492,0.6115008819399381,0.964903994438378,0.964903994438378,0.964903994438378,False,False
12,681ddb33974851e25b5724b04090ccc0,2a51e780f92c0f7926251e0f82e0c9ab,hiroshi yoshimura,north americans,0.9811348681246281,0.7076395750045776,0.7088507874533507,0.9971803197750511,0.9971803197750511,0.9971803197750511,False,False
13,2a51e780f92c0f7926251e0f82e0c9ab,aa75a232d585d584adc06edd30fe475a,north americans,jonny nash,0.9975596739419368,0.6691460609436035,0.4698503666350299,0.9983197529005715,0.9983197529005715,0.9983197529005715,False,False
