position,prev_track_id,next_track_id,prev_artist,next_artist,sonic_sim,genre_sim,hybrid_sim,transition_sim,transition_raw,transition_centered,below_floor,same_artist
0,ac056e4b6b1bcdc36e576ee13659900f,05d23d4bc23e7eb756a1db9eba8d60f9,tops,stevie wonder,0.999494382206244,0.8633233308792114,0.9528762149977295,0.9988814464791396,0.9988814464791396,0.9988814464791396,False,False
1,05d23d4bc23e7eb756a1db9eba8d60f9,f6e5c1eb1db4c7f298125087e5546115,stevie wonder,marvin gaye,0.9991817001528116,0.9475663304328918,0.9769578985239112,0.9972187116008754,0.9972187116008754,0.9972187116008754,False,False
2,f6e5c1eb1db4c7f298125087e5546115,cfbb5b9efb391cb4df9dca07ee94cc00,marvin gaye,the temptations,0.9987826861069279,0.9698842763900757,0.9651388418105473,0.998205144722829,0.998205144722829,0.998205144722829,False,False
3,cfbb5b9efb391cb4df9dca07ee94cc00,6b5818e04017f0c9e9342cd89cf55516,the temptations,jackson 5,0.997606989337585,0.9500008225440979,0.9467240305028897,0.9978637855168588,0.9978637855168588,0.9978637855168588,False,False
4,6b5818e04017f0c9e9342cd89cf55516,23e4e5619bdad24cbcda1cad98a97c41,jackson 5,aaliyah,0.9981541157298569,0.8752140402793884,0.8976894380068672,0.9988945583953645,0.9988945583953645,0.9988945583953645,False,False
5,23e4e5619bdad24cbcda1cad98a97c41,268abc9d1ae84b0f155279d1c3412928,aaliyah,sly the family stone,0.997868786329922,0.8204127550125122,0.8636079597520447,0.9996631990448039,0.9996631990448039,0.9996631990448039,False,False
6,268abc9d1ae84b0f155279d1c3412928,144d5dc0ca8bad3214691e248b9428be,sly the family stone,tops,0.9956659556258003,0.8543906807899475,0.9007801839077418,0.9954664483572045,0.9954664483572045,0.9954664483572045,False,False
7,144d5dc0ca8bad3214691e248b9428be,a3f02d846c1ef4f131c3e2e819a2b5be,tops,the supremes,0.9979931303861533,0.8766785860061646,0.8971991819754679,0.9981374787912732,0.9981374787912732,0.9981374787912732,False,False
8,a3f02d846c1ef4f131c3e2e819a2b5be,1598d19bb3b770f3782533feb15c37d4,the supremes,curtis mayfield,0.9982422771003591,0.8848172426223755,0.9480864649660281,0.9989825592283913,0.9989825592283913,0.9989825592283913,False,False
9,1598d19bb3b770f3782533feb15c37d4,a36b3e6e3da40082c1e8d7c1ee3ff013,curtis mayfield,mariah carey,0.9985998549671529,0.7920427918434143,0.8393692081327851,0.9981828257845451,0.9981828257845451,0.9981828257845451,False,False
10,a36b3e6e3da40082c1e8d7c1ee3ff013,fd6d9ece2108d5ac622a1a78495a644e,mariah carey,isaac hayes,0.9994060826763568,0.7845594882965088,0.8556136382872543,0.9995404582064003,0.9995404582064003,0.9995404582064003,False,False
11,fd6d9ece2108d5ac622a1a78495a644e,f4e46151f1abeb258ab0af679c5e4225,isaac hayes,marvin gaye,0.9979495439064378,0.8542929887771606,0.9160134555706675,0.9968204868960286,0.9968204868960286,0.9968204868960286,False,False
12,f4e46151f1abeb258ab0af679c5e4225,018ffca3d00f1cdd00d5f09a7aa1e145,marvin gaye,stevie wonder,0.9978254144650883,0.9475663304328918,0.9749891617815138,0.9993644552699271,0.9993644552699271,0.9993644552699271,False,False
13,018ffca3d00f1cdd00d5f09a7aa1e145,ec5349a37910683d893cc596d747a461,stevie wonder,tops,0.9953699102381168,0.8633233308792114,0.9571554311850012,0.9841478014696343,0.9841478014696343,0.9841478014696343,False,False
14,ec5349a37910683d893cc596d747a461,e61049a40eae323c5f8d4256be22e7dd,tops,patrice rushen,0.9989243996805774,0.7609375715255737,0.8542403178467147,0.9963273736210246,0.9963273736210246,0.9963273736210246,False,False
15,e61049a40eae323c5f8d4256be22e7dd,92ef890d8fbe8a6d131ad9897e68b513,patrice rushen,jackson 5,0.998997886253247,0.8746110796928406,0.873028196073509,0.9980587002741972,0.9980587002741972,0.9980587002741972,False,False
16,92ef890d8fbe8a6d131ad9897e68b513,5aa72adaa3797440ff56ed0e1c52476b,jackson 5,the temptations,0.9989847186327442,0.9500008225440979,0.9404230698773268,0.9989206627125238,0.9989206627125238,0.9989206627125238,False,False
17,5aa72adaa3797440ff56ed0e1c52476b,85e1a8a201f3e207a3183add4ef883bc,the temptations,sade,0.9995448164272871,0.879030704498291,0.831042479707086,0.9997730928548871,0.9997730928548871,0.9997730928548871,False,False
18,85e1a8a201f3e207a3183add4ef883bc,b1326477eed3ec3890bfcff08b871c53,sade,marvin gaye,0.9967322417186242,0.8756043314933777,0.8543278026225135,0.996819723225446,0.996819723225446,0.996819723225446,False,False
19,b1326477eed3ec3890bfcff08b871c53,6e651d3edb11e432d290ebc8c3363380,marvin gaye,stevie wonder,0.9966096037421871,0.9475663304328918,0.9823096386571444,0.9986165273275112,0.9986165273275112,0.9986165273275112,False,False
