position,prev_track_id,next_track_id,prev_artist,next_artist,sonic_sim,genre_sim,hybrid_sim,transition_sim,transition_raw,transition_centered,below_floor,same_artist
0,370b83ca5f025ddf99d67c885df37cef,5348e89f776790b51059ee723b4e50d0,beach house,duster,0.9976410664584343,0.8956343531608582,0.8598656834146091,0.9961502641425962,0.9961502641425962,0.9961502641425962,False,False
1,5348e89f776790b51059ee723b4e50d0,8d554b74a93ad9100630da70c172f296,duster,sound of ceres,0.9981980595722078,0.7952268719673157,0.6979127804764109,0.997566252994656,0.997566252994656,0.997566252994656,False,False
2,8d554b74a93ad9100630da70c172f296,ec21992308307803be882b17264cd487,sound of ceres,wild nothing,0.999851969716031,0.9880290031433105,0.8042321581480903,0.9998558454983194,0.9998558454983194,0.9998558454983194,False,False
3,ec21992308307803be882b17264cd487,501eafd002bf4803fb20507b3c78a6e4,wild nothing,suzanne kraft,0.9871411417623503,0.9885318875312805,0.7796279150838195,0.9914386078891063,0.9914386078891063,0.9914386078891063,False,False
4,501eafd002bf4803fb20507b3c78a6e4,0ff9b7ab3f3d2eb345cd2fa1302160b6,suzanne kraft,yo la tengo,0.9901724503444203,0.9307299852371216,0.6212197453149573,0.9744914429905631,0.9744914429905631,0.9744914429905631,False,False
5,0ff9b7ab3f3d2eb345cd2fa1302160b6,955e1dc73c672ac97ad1788fd8cfd527,yo la tengo,the radio dept,0.9986082074001569,0.9580112099647522,0.6567539471843059,0.9946770868858141,0.9946770868858141,0.9946770868858141,False,False
6,955e1dc73c672ac97ad1788fd8cfd527,638eada3374ec8969fcd98ea46e73ede,the radio dept,beach house,0.9996816523943307,0.9838224053382874,0.8729740321429796,0.9980907664226464,0.9980907664226464,0.9980907664226464,False,False
7,638eada3374ec8969fcd98ea46e73ede,aa1fd99cfb42945b417a36f11f0638da,beach house,spirit of the beehive,0.9995494747480193,0.8605079054832458,0.8034191935293443,0.9987694081679716,0.9987694081679716,0.9987694081679716,False,False
8,aa1fd99cfb42945b417a36f11f0638da,918518ef73faa4ce4b641a1cb0b47211,spirit of the beehive,spiritualized,0.9920242893106674,0.8471144437789917,0.7401450060044026,0.9993498860273529,0.9993498860273529,0.9993498860273529,False,False
9,918518ef73faa4ce4b641a1cb0b47211,c8758499a8298ad82d4b31ed815197be,spiritualized,wednesday,0.9979823905459155,0.7710963487625122,0.7672364423043567,0.9975730119785671,0.9975730119785671,0.9975730119785671,False,False
10,c8758499a8298ad82d4b31ed815197be,2ba86e00b8ddf435bd6064dfcb6943ed,wednesday,slow pulp,0.9964744951038706,0.7697631120681763,0.674856486355538,0.9963438283720153,0.9963438283720153,0.9963438283720153,False,False
11,2ba86e00b8ddf435bd6064dfcb6943ed,9d1de0a609ee544de0e8fc39c7a043aa,slow pulp,torrey,0.999631793668715,0.8934804201126099,0.7219304476549836,0.9991564644825612,0.9991564644825612,0.9991564644825612,False,False
12,9d1de0a609ee544de0e8fc39c7a043aa,81cf91f441110718f1ede5f71d159970,torrey,fritz,0.9989460289296541,0.9242883920669556,0.6684298208931302,0.999708694471384,0.999708694471384,0.999708694471384,False,False
13,81cf91f441110718f1ede5f71d159970,1c966c9a965534977ebd9ff9a8ce1e9f,fritz,beach house,0.9982846620128478,0.9125880599021912,0.6565540101684119,0.9985459903451968,0.9985459903451968,0.9985459903451968,False,False
14,1c966c9a965534977ebd9ff9a8ce1e9f,802fc928a77a2ec068cb2125e4f2e666,beach house,feeble little horse,0.9994315251541557,0.8801220655441284,0.7105000846386791,0.9995498230632434,0.9995498230632434,0.9995498230632434,False,False
15,802fc928a77a2ec068cb2125e4f2e666,61f14ba646f0cf893ef1d5000f8aeb9d,feeble little horse,the spirit of the beehive,0.9975731471305271,0.9357221126556396,0.7554171521280937,0.9967963643588903,0.9967963643588903,0.9967963643588903,False,False
16,61f14ba646f0cf893ef1d5000f8aeb9d,b6f0067806fac3de1af99ea3ca7b1cfd,the spirit of the beehive,duster,0.9998314425477715,0.8612534403800964,0.6639757558254158,0.9996860234007003,0.9996860234007003,0.9996860234007003,False,False
17,b6f0067806fac3de1af99ea3ca7b1cfd,8589162536a22b3bed3f00e87f08ab27,duster,slowdive,0.9724892976241645,0.8734028339385986,0.8167567395556161,0.9926439911954417,0.9926439911954417,0.9926439911954417,False,False
