position,track_id,artist_key,artist_name,title,duration_ms,seed_sim,genres
0,62691d38ceb5d153cbc21ed11e77c054,aphex twin,Aphex Twin,#4,,1.0,
1,9fe49bce6f89ab26d724665b10d3d4cb,afx,AFX,Klopjob,,0.9297236209663818,
2,5eac8bcea62e242c5d0e62c531fc82cb,autechre,Autechre,Kalpol Introl,,0.909192442883312,
3,3454037aefe00f38dfa93953a4f38027,bird s eye batang,새눈바탕 Bird's Eye Batang,돌고 돌 Spin & Stone,,0.8947795758636565,
4,c547efe04478e4dffa80e7ae88e96f84,polygon window,Polygon Window,Untitled,,0.8147550625133443,
5,f847bb87b57dab3ff934aec2eece1e1e,the tuss,The Tuss,"[S770/SCI 3000,powertran]   beautiful Japanese people",,0.8724987852004169,
6,f2cc22a86403c7e260bebc2f5f136a69,squarepusher,Squarepusher,Kronmec,,0.7675726582748016,
7,dc262afc58748822d5e015bb25b045a3,aphex twin,Aphex Twin,#4,,0.7787218883234744,
8,35a8912660262971a455ee2a677fe136,afx,AFX,AFX Acid 04,,0.9250494350638846,
9,e7a569e795af71ac46f86184160c2843,autechre,Autechre,YJY UX,,0.8640411167333074,
10,616bb5cc632e11f7f44ab5d7effe800e,bird s eye batang,새눈바탕 Bird's Eye Batang,수 Are Your Wings Swept?,,0.9059541697409442,
11,b661e6e8a2d7d81baf2ac52e0bcdd340,osamu sato,Osamu Sato,Transmigration (Tong-Nou Ending Theme),,0.8425942625068192,
12,f90e0a4e67ddcc9bb2dd7b9325a98cbe,tim hecker,Tim Hecker,Is but a simulated blur,,0.6933513453154799,
13,d0a55fbc678badd76cb658a6f92bba4f,lfo,LFO,Helen,,0.5694937288782527,
14,0547ae05e3d52659522287989d418305,aphex twin,Aphex Twin,#18,,0.7257986147365751,
15,c36a8bbcfa60421644b3a7049a42d40c,afx,AFX,Pitcard,,0.9183496509589705,
16,2b0668b6389dbe1778f51835842bb374,autechre,Autechre,l3 ctrl,,0.858547373633215,
17,a37541265283f78d7a3c88984f0ffc9c,bird s eye batang,새눈바탕 Bird's Eye Batang,혓것 Tongue Tracers,,0.9341163651442703,
18,41f1d1a08ed447f2346e551d24fe58a6,polygon window,Polygon Window,Portreath Harbour,,0.8414654362586026,
19,7b9d7fbb68462a41b834fb0e02308be4,aphex twin luke vibert,Aphex Twin & Luke Vibert,Spiral Staircase (AFX Remix) [London 14.09.2019],,0.7586245407802237,
20,f321f48a53f5ba04344cfeaf1a8c1c17,squarepusher,Squarepusher,Les Mains Dansent,,0.7038072916369852,
21,18a6f79e43dd50d0136d772593bdf45e,aphex twin,Aphex Twin,#1,,0.7798342195962152,
22,d628d516f3811f4a675c11c25a6e75bc,afx,AFX,Stabbij,,0.9203077583401436,
23,700f5eb928d12631b8ec4b8edbd21910,fennesz,Fennesz,Liminality,,0.8433565281970695,
24,49c6d074eba71661a3de23a7f5ac299d,bird s eye batang,새눈바탕 Bird's Eye Batang,윙윙 Towards,,0.8993138620188313,
25,0c6c9c1e814a213f25c5065c6dc5cef0,polygon window,Polygon Window,Quixote,,0.8313173993527522,
26,9697341ad957c102f7d76f6788f45815,the tuss,The Tuss,last rushup 10 M,,0.9004900440445353,
27,342e2f2a0bc511af70833b09f288aa1f,squarepusher,Squarepusher,Detroit People Mover,,0.7598895061498911,
28,6d1faddaa93ee370e408357bc6af2069,bogdan raczynski,Bogdan Raczynski,Thinking Of You Thinking Of Me,,0.9411562492862726,
29,96619da6ae325f2c0ef8696be5c6db4a,arovane,Arovane,Neel,,0.5772153907586097,
